department,municipality,department_abbreviation,NAME,row_nr
Valle del Cauca,El Cerrito,VC,"El Cerrito, VC",1026
Valle del Cauca,El Dovio,VC,"El Dovio, VC",1027
Valle del Cauca,Florida,VC,"Florida, VC",1028
Valle del Cauca,Ginebra,VC,"Ginebra, VC",1029
Valle del Cauca,Guacari,VC,"Guacari, VC",1030
Valle del Cauca,Guadalajara de Buga,VC,"Guadalajara de Buga, VC",1031
Valle del Cauca,Jamundi,VC,"Jamundi, VC",1032
Valle del Cauca,La Cumbre,VC,"La Cumbre, VC",1033
Valle del Cauca,La Union de Sucre,VC,"La Union de Sucre, VC",1034
Valle del Cauca,La Victoria,VC,"La Victoria, VC",1035
Valle del Cauca,Obando,VC,"Obando, VC",1036
Valle del Cauca,Palmira,VC,"Palmira, VC",1037
Valle del Cauca,Pradera,VC,"Pradera, VC",1038
Valle del Cauca,Restrepo,VC,"Restrepo, VC",1039
Valle del Cauca,Riofrio,VC,"Riofrio, VC",1040
Valle del Cauca,Roldanillo,VC,"Roldanillo, VC",1041
Valle del Cauca,San Pedro,VC,"San Pedro, VC",1042
Valle del Cauca,Santiago de Cali,VC,"Santiago de Cali, VC",1043
Valle del Cauca,Sevilla,VC,"Sevilla, VC",1044
Valle del Cauca,Toro,VC,"Toro, VC",1045
Valle del Cauca,Trujillo,VC,"Trujillo, VC",1046
Valle del Cauca,Tulua,VC,"Tulua, VC",1047
Valle del Cauca,Ulloa,VC,"Ulloa, VC",1048
Valle del Cauca,Versalles,VC,"Versalles, VC",1049
Valle del Cauca,Vijes,VC,"Vijes, VC",1050
Valle del Cauca,Yotoco,VC,"Yotoco, VC",1051
Valle del Cauca,Yumbo,VC,"Yumbo, VC",1052
Valle del Cauca,Zarzal,VC,"Zarzal, VC",1053
Vaupes,Caruru,VP,"Caruru, VP",1054
Vaupes,Mitu,VP,"Mitu, VP",1055
Vaupes,Pacoa,VP,"Pacoa, VP",1056
Vaupes,Papunahua,VP,"Papunahua, VP",1057
Vaupes,Taraira,VP,"Taraira, VP",1058
Vaupes,Yavarate,VP,"Yavarate, VP",1059
Vichada,Cumaribo,VD,"Cumaribo, VD",1060
Vichada,La Primavera,VD,"La Primavera, VD",1061
Vichada,Puerto Carreno,VD,"Puerto Carreno, VD",1062
Vichada,San Jose de Ocune,VD,"San Jose de Ocune, VD",1063
Vichada,Santa Rita,VD,"Santa Rita, VD",1064
Vichada,Santa Rosalia,VD,"Santa Rosalia, VD",1065
