Name	Confirmed	Deaths	Recovered	Active	Confirmed_per_capita	Deaths_per_capita	IFR_0.30_expected	IFR_0.65_expected	IFR_1.0_expected	IFR_0.30_expected_per_capita	IFR_0.65_expected_per_capita	IFR_1.0_expected_per_capita	Tests	Tests_per_capita	Confirmed_daily	Deaths_daily
Trinidad and Tobago	90	5	1	84	6.475e-05	3.6e-06	1666.66666667	769.230769231	500	0.0012	0.000553846153846	0.00036	595	4.36e-4	3	2
Guatemala	39	1	12	26	2.26e-06	6e-08	333.333333333	153.846153846	100	2e-05	9.23076923077e-06	6e-06	NA	NA	1	0
Antigua and Barbuda	7	0	0	7	7.27e-05	0.0	35	14	8.75	0.0003635	0.0001454	9.0875e-05	NA	NA	0	0
Paraguay	69	3	1	65	9.92e-06	4.3e-07	1000	461.538461538	300	0.000143333333333	6.61538461538e-05	4.3e-05	NA	NA	4	0
Saint Vincent and the Grenadines	1	0	1	0	9.07e-06	0.0	5	2	1.25	4.535e-05	1.814e-05	1.13375e-05	NA	NA	0	0
Dominican Republic	1284	57	9	1218	0.00012082	5.36e-06	19000	8769.23076923	5700	0.00178666666667	0.000824615384615	0.000536	NA	NA	175	6
Nicaragua	5	1	0	4	7.7e-07	1.5e-07	333.333333333	153.846153846	100	5e-05	2.30769230769e-05	1.5e-05	NA	NA	0	0
Haiti	16	0	1	15	1.44e-06	0.0	80	32	20	7.2e-06	2.88e-06	1.8e-06	NA	NA	1	0
Dominica	12	0	0	12	0.00016754	0.0	60	24	15	0.0008377	0.00033508	0.000209425	NA	NA	0	0
Brazil	6836	240	127	6469	3.263e-05	1.15e-06	80000	36923.0769231	24000	0.000383333333333	0.000176923076923	0.000115	54824	2.18e-4	1119	39
Belize	3	0	0	3	7.83e-06	0.0	15	6	3.75	3.915e-05	1.566e-05	9.7875e-06	NA	NA	0	0
Colombia	1065	17	39	1009	2.145e-05	3.4e-07	5666.66666667	2615.38461538	1700	0.000113333333333	5.23076923077e-05	3.4e-05	19970	4.14e-4	159	1
Suriname	10	0	0	10	1.736e-05	0.0	50	20	12.5	8.68e-05	3.472e-05	2.17e-05	NA	NA	1	0
Uruguay	338	2	41	295	9.799e-05	5.8e-07	666.666666667	307.692307692	200	0.000193333333333	8.92307692308e-05	5.8e-05	NA	NA	0	1
Peru	1323	38	394	891	4.136e-05	1.19e-06	12666.6666667	5846.15384615	3800	0.000396666666667	0.000183076923077	0.000119	NA	NA	258	8
Ecuador	2748	93	58	2597	0.00016085	5.44e-06	31000	14307.6923077	9300	0.00181333333333	0.000836923076923	0.000544	NA	NA	508	18
Chile	3031	16	234	2781	0.00016183	8.5e-07	5333.33333333	2461.53846154	1600	0.000283333333333	0.000130769230769	8.5e-05	NA	NA	293	4
Guyana	19	2	0	17	2.439e-05	2.57e-06	666.666666667	307.692307692	200	0.000856666666667	0.000395384615385	0.000257	NA	NA	7	0
Grenada	9	0	0	9	8.075e-05	0.0	45	18	11.25	0.00040375	0.0001615	0.0001009375	NA	NA	0	0
Argentina	1054	28	248	778	2.369e-05	6.3e-07	9333.33333333	4307.69230769	2800	0.00021	9.69230769231e-05	6.3e-05	NA	NA	0	1
Bolivia	115	7	1	107	1.013e-05	6.2e-07	2333.33333333	1076.92307692	700	0.000206666666667	9.53846153846e-05	6.2e-05	NA	NA	8	1
Venezuela	143	3	41	99	4.95e-06	1e-07	1000	461.538461538	300	3.33333333333e-05	1.53846153846e-05	1e-05	NA	NA	8	0
Barbados	34	0	0	34	0.00011862	0.0	170	68	42.5	0.0005931	0.00023724	0.000148275	382	0.001331	0	0
Diamond Princess	712	11	603	98	N/A	N/A	3666.66666667	1692.30769231	1100	N/A	N/A	N/A	NA	NA	0	1
MS Zaandam	9	2	0	7	N/A	N/A	666.666666667	307.692307692	200	N/A	N/A	N/A	NA	NA	7	2
