Name	Cases	Cases_per_capita	Total_Cases	Total_Cases_per_capita	Deaths	Deaths_per_capita	Total_Deaths	Total_Deaths_per_capita
Eritrea	67.395	1.506e-05	788.869	0.00017628	0.259	6e-08	0.798	1.8e-07
Kyrgyzstan	115.313	1.826e-05	1934.51	0.0003063	0.764	1.2e-07	3.697	5.9e-07
Trinidad and Tobago	3.084	2.22e-06	109.351	7.868e-05	0.041	3e-08	0.338	2.4e-07
Latvia	0.48	2.5e-07	235.729	0.00012236	0.024	1e-08	1.314	6.8e-07
South Sudan	41.583	3.79e-06	93.563	8.52e-06	0.0	0.0	0.0	0.0
Guyana	0.655	8.4e-07	35.819	4.598e-05	0.012	2e-08	0.131	1.7e-07
Syria	974.252	5.763e-05	10297.474	0.00060909	2.664	1.6e-07	7.695	4.6e-07
Honduras	79.321	8.27e-06	5504.909	0.00057417	1.856	1.9e-07	21.726	2.27e-06
Myanmar	9707.936	0.00018075	54264.873	0.00101036	3.734	7e-08	7.468	1.4e-07
Equatorial Guinea	3.179	2.43e-06	94.258	7.201e-05	0.035	3e-08	0.264	2e-07
Tunisia	28.855	2.5e-06	8454.583	0.00073104	1.281	1.1e-07	45.43	3.93e-06
Nicaragua	128.06	1.981e-05	1906.465	0.00029487	0.747	1.2e-07	3.073	4.8e-07
Cuba	138.666	1.223e-05	7587.829	0.00066923	2.629	2.3e-07	27.789	2.45e-06
United Kingdom	3242.622	4.877e-05	267993.193	0.00403064	83.545	1.26e-06	1128.433	1.697e-05
Paraguay	27.141	3.9e-06	2991.728	0.00043009	0.839	1.2e-07	14.08	2.02e-06
Gabon	7.17	3.38e-06	254.247	0.00011997	0.094	4e-08	0.786	3.7e-07
Botswana	13.373	5.93e-06	47.135	2.091e-05	0.001	0.0	0.003	0.0
